                Time          Cycles PC       Instr    Mnemonic
                4501               3 0000000a 00800013 addi             x0, x0, 8          
                5501               4 0000000c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
                6501               5 00000010 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
                7501               6 00000014 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
                8501               7 00000018 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
                9501               8 0000001c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               10501               9 00000020 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               11501              10 00000024 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               12501              11 00000028 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               13501              12 0000002c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               14501              13 00000030 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               15501              14 00000034 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               16501              15 00000038 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               17501              16 0000003c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               18501              17 00000040 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               19501              18 00000044 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               20501              19 00000048 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               21501              20 0000004c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               22501              21 00000050 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               23501              22 00000054 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               24501              23 00000058 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               25501              24 0000005c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               26501              25 00000060 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               27501              26 00000064 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               28501              27 00000068 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               29501              28 0000006c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               30501              29 00000070 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               31501              30 00000074 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               32501              31 00000078 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               33501              32 0000007c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               34501              33 00000080 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               35501              34 00000084 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               36501              35 00000088 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               37501              36 0000008c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               38501              37 00000090 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               39501              38 00000094 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               40501              39 00000098 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               41501              40 0000009c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               42501              41 000000a0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               43501              42 000000a4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               44501              43 000000a8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               45501              44 000000ac 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               46501              45 000000b0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               47501              46 000000b4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               48501              47 000000b8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               49501              48 000000bc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               50501              49 000000c0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               51501              50 000000c4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               52501              51 000000c8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               53501              52 000000cc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               54501              53 000000d0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               55501              54 000000d4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               56501              55 000000d8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               57501              56 000000dc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               58501              57 000000e0 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
               59501              58 000000e4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
