                Time          Cycles PC       Instr    Mnemonic
                 101               3 xxxxxxxX 000fa103 lw               x2, 0(x31)           x2=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 121               4 xxxxxxxx 000fa103 lw               x2, 0(x31)           x2=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 141               5 xxxxxxxx 000fa103 lw               x2, 0(x31)           x2=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 161               6 xxxxxxxx 000fa183 lw               x3, 0(x31)           x3=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 181               7 xxxxxxxx 000fa183 lw               x3, 0(x31)           x3=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 201               8 xxxxxxxx 000fa183 lw               x3, 0(x31)           x3=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 221               9 xxxxxxxx 000fa183 lw               x3, 0(x31)           x3=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 241              10 xxxxxxxx 000fa183 lw               x3, 0(x31)           x3=0000000a x31:xxxxxxxx  PA:xxxxxxxx
                 281              12 xxxxxxxx 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 301              13 xxxxxxxx 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 321              14 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 341              15 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 361              16 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 381              17 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 401              18 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 421              19 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 441              20 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 461              21 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 481              22 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 501              23 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 521              24 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 541              25 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 561              26 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 581              27 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 601              28 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 621              29 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
                 641              30 xxxxxxxX 002180b3 add              x1, x3, x2           x1=00000014  x3:0000000a  x2:0000000a
