                Time          Cycles PC       Instr    Mnemonic
                 141               3 xxxxxxxX 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 161               4 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 181               5 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 201               6 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 221               7 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 241               8 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 261               9 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 281              10 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 301              11 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 321              12 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 341              13 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 361              14 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 381              15 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 401              16 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 421              17 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=46df998d  PA:00000000
                 441              18 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=06d7cd0d  PA:00000000
                 461              19 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=06d7cd0d  PA:00000000
                 481              20 xxxxxxxx 00002503 lw               x10, 0(x0)          x10=06d7cd0d  PA:00000000
                 501              21 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 521              22 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 541              23 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 561              24 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 581              25 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 601              26 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 621              27 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 641              28 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 661              29 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 681              30 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 701              31 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 721              32 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 741              33 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 761              34 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 781              35 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 801              36 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 821              37 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 841              38 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 861              39 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 881              40 xxxxxxxx 00002083 lw               x1, 0(x0)            x1=06d7cd0d  PA:00000000
                 921              42 xxxxxxxx 00150533 add              x10, x10, x1        x10=0daf9a1a x10:06d7cd0d  x1:06d7cd0d
